岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
后端开发实习生,300-400/天,本科,实习6个月,北京,,的业务架构2. 打造海量数据存储平台，大规模分布式计算平台，实时计算计算平台，高可用业务平台3. 对所负责的业务场景不断优化，为更好用的地图中台负责4. 主要实现语言为Golang/Python，可以接受其他语言转Golang岗位要求1. 统招本科及以上学历，计算机、通信等相关专业者优先；2. 优秀的代码设计能力和品味、热爱编程 ，熟悉linux，深刻理解计算机原理、有良好的数据结构和算法基础3. 能熟练使用一种编程语言，包括不限于Golang/Python/Java/PHP/C++/C；4. 熟悉常见关系型数据库、非关系型mongoDb、redis、消息队列等组件，并了解其基本原理5. 有高并发服务设计和实现经验、对分布式系统，微服务有深刻的了解，有良好的可靠性意识，包括不限于监控，容灾等6. 有良好的业务抽象能力和业务建模能力7. 有良好的团队沟通能力，良好的责任心8. 实习时长不少于6个月，每周实习时间不少于4天,的业务架构2. 打造海量数据存储平台，大规模分布式计算平台，实时计算计算平台，高可用业务平台3. 对所负责的业务场景不断优化，为更好用的地图中台负责4. 主要实现语言为Golang/Python，可以接受其他语言转Golang岗位要求1. 统招本科及以上学历，计算机、通信等相关专业者优先；2. 优秀的代码设计能力和品味、热爱编程 ，熟悉linux，深刻理解计算机原理、有良好的数据结构和算法基础3. 能熟练使用一种编程语言，包括不限于Golang/Python/Java/PHP/C++/C；4. 熟悉常见关系型数据库、非关系型mongoDb、redis、消息队列等组件，并了解其基本原理5. 有高并发服务设计和实现经验、对分布式系统，微服务有深刻的了解，有良好的可靠性意识，包括不限于监控，容灾等6. 有良好的业务抽象能力和业务建模能力7. 有良好的团队沟通能力，良好的责任心8. 实习时长不少于6个月，每周实习时间不少于4天
后端开发实习生,200-250/天,本科,实习3个月,深圳,：1. 负责日常项目维护，协助参与B端后台系统设计与开发。目前开发主要用golang，接受java开发转golang。岗位要求：2. 2022届及之后本科/硕士毕业的同学。欢迎优秀的计算机/非计算机专业学生3. 全职，必要时可回学校4. 学习能力强，团队意识强，热爱编程，积极主动5. 良好沟通和团队协作能力6. 熟悉linux基本操作7. 熟悉Golang/C++/python/java任意一门语言，了解mysql/redis/clickhouse等。有实际开发经验优先 8. 熟悉ES/Clickhouse等大数据处理框架优先9. 要求实习3个月以上，实习半年以上的优先，希望留下来的优先,：2. 2022届及之后本科/硕士毕业的同学,：2. 2022届及之后本科/硕士毕业的同学
后端开发工程师,200-300/天,本科,实习6个月,南京,,,
后端开发实习生,120-200/天,本科,实习3个月,南京,】 1. 根据需求完成服务端接口的设计和开发并按规范编写文档；2. 负责项目后台功能的代码实现、单元测试和问题修复等； 3. 协助团队完成其他各类技术开发任务和技术攻关； 【职位要求】 1. 有一定的编程基础，了解一种或多种服务端编程语言；2. 了解数据库基本原理，会简单地使用数据库进行开发；3. 对 Web 开发有一定了解，知道前后端的交互原理；4. 逻辑思维清晰，具备较强的自我学习能力；5. 责任心强，能抗压，善于沟通和协调； 【加分项】 1. 有独立或合作开发的完整作品；2. 有协同开发经验，了解 Git；3. 使用过 Linux，了解基础的指令；4. 了解至少一种常用的后端开发框架；5. 有开放平台（微信/支付宝等）相关开发经验,】 1. 有一定的编程基础，了解一种或多种服务端编程语言；2. 了解数据库基本原理，会简单地使用数据库进行开发；3. 对 Web 开发有一定了解，知道前后端的交互原理；4. 逻辑思维清晰，具备较强的自我学习能力；5. 责任心强，能抗压，善于沟通和协调； 【加分项】 1. 有独立或合作开发的完整作品；2. 有协同开发经验，了解 Git；3. 使用过 Linux，了解基础的指令；4. 了解至少一种常用的后端开发框架；5. 有开放平台（微信/支付宝等）相关开发经验,】 1. 有一定的编程基础，了解一种或多种服务端编程语言；2. 了解数据库基本原理，会简单地使用数据库进行开发；3. 对 Web 开发有一定了解，知道前后端的交互原理；4. 逻辑思维清晰，具备较强的自我学习能力；5. 责任心强，能抗压，善于沟通和协调； 【加分项】 1. 有独立或合作开发的完整作品；2. 有协同开发经验，了解 Git；3. 使用过 Linux，了解基础的指令；4. 了解至少一种常用的后端开发框架；5. 有开放平台（微信/支付宝等）相关开发经验
后端开发实习生,300-400/天,本科,实习3个月,上海,,,
后端开发工程师,100-200/天,本科,实习6个月,上海,,,
后端开发工程师,120-200/天,不限,实习12个月,上海,,,
后端开发实习生,200-300/天,本科,实习3个月,北京,,,
后端开发实习生,200-300/天,本科,实习3个月,北京,Job Responsibility】将有机会参与到快消行业“产供销”全链条的数字化升级过程中。1. 参与产供销相关系统的架构设计、后端开发；2. 独立完成分配的模块设计、开发、编程、单元测试等任务；3. 负责系统研发文档的编写工作；4. 持续改进与优化研发过程，提升开发体验和效率,Job Requirement】1. 本科及以上学历，软件工程、计算机专业优先；2. 有良好的编程基础，至少熟悉一种开发语言（java/python/go/node.js...）；3. 有实际上线项目开发经验优先；4. 能够连续实习3个月及以上，通过实习考核的同学可以拿到正式offer,Job Requirement】1. 本科及以上学历，软件工程、计算机专业优先；2. 有良好的编程基础，至少熟悉一种开发语言（java/python/go/node.js...）；3. 有实际上线项目开发经验优先；4. 能够连续实习3个月及以上，通过实习考核的同学可以拿到正式offer
后端开发实习生,300-400/天,本科,实习6个月,北京,：参与构建区块链相关后台产品的研发工作；参与后端系统流程优化与性能调优工作；参与技术调研与文档沉淀工作,：全日制统招本科及以上学历，985/211院校毕业，计算机科学、软件工程、信息学或相关专业优先；了解mysql、redis等数据库操作以及相关优化；有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；有强烈的求知欲，主动学习和沟通能力；有golang简单经验优先，计算机基础较好优先；可长时间实习（6个月以上）的同学优先,：全日制统招本科及以上学历，985/211院校毕业，计算机科学、软件工程、信息学或相关专业优先；了解mysql、redis等数据库操作以及相关优化；有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；有强烈的求知欲，主动学习和沟通能力；有golang简单经验优先，计算机基础较好优先；可长时间实习（6个月以上）的同学优先
